query_id,mode,query,expected_answer,model_answer,correct_substring,llm_score
16,vanilla,What was the size of the arms deal with Saudi Arabia?,$110 billion,"The exact size of the arms deal between the United States and Saudi Arabia is not specified in any of the provided documents. However, one document mentions that U.S lawmakers are attempting to stop at least part of President Trump's sale of weapons to Saudi Arabia, suggesting it could be a significant agreement.",0,0.5
17,vanilla,How did Turkey respond to US after the Washington street brawl?,Summoned US ambassador,"After the Washington street brawl incident involving Turkish security officials during President Erdogan's visit, Turkey summoned the U.S ambassador in Ankara to protest the treatment of their security forces while they were in the United States. This was documented in Doc ID: 0202.",0,1.0
18,vanilla,What did Putin say about election interference?,Russians might have acted independently,"Putin's response to questions about election interference is not explicitly detailed in the provided documents, as he tends to deflect or avoid direct comments. However, it can be inferred from Doc ID: 0494 that Russia may consider further efforts similar to their successful attempts at causing discord during the 2016 presidential elections. This could potentially lead them to interfere in future elections as well.",0,0.0
19,vanilla,What were the terms of U.S. commitment in Paris agreement?,26-28% emissions reduction by 2025,"Based on the given documents, it is not explicitly mentioned what the exact terms of the U.S. commitment to the Paris Agreement are. However, they do highlight that President Donald Trump's decision to withdraw from this agreement was met with disappointment and criticism by international figures such as France’s ambassador to the United States, German Chancellor Angela Merkel, former U.S. President Barack Obama, and the mayor of Paris. It can be inferred that the terms likely involved efforts towards reducing greenhouse gas emissions and moving in a positive direction for climate change mitigation strategies.",0,0.0
20,vanilla,How much would EPA budget be cut under Trump's proposal?,31 percent reduction,"The specific amount of the proposed cut to the Environmental Protection Agency (EPA) budget is not mentioned in the provided documents. However, they mention that President Donald Trump's administration plans deep cuts to state environmental programs and other government spending reductions as part of a broader $3.6 trillion budget cut proposal for the next decade.",0,0.0
21,vanilla,What did McMaster say about Trump's NATO stance?,President supports Article 5,"Based on the retrieved documents, HR McMaster stated that President Donald Trump does support NATO's mutual defense doctrine. This was mentioned in two separate instances; once during his speech at an event in TAORMINA, Italy and again before a memorial made of remnants of the World Trade Center in Washington D.C. Furthermore, McMaster assured that President Trump did not have any conversation which could cause a lapse in national security regarding NATO issues.",0,1.0
22,vanilla,When was Comey scheduled to testify before Senate?,June 8,"Former FBI Director James Comey was scheduled to testify before the U.S. Senate panel investigating Russia's alleged meddling in the 2016 election next Thursday, as per Doc ID: 0000. He also agreed to a public session with the Senate Intelligence Committee on June 8 and was invited by the committee chairman for a closed hearing next Tuesday (Doc IDs: 0225 and 0399).",1,1.0
23,vanilla,What was China's stance after U.S. left Paris agreement?,Committed to continue implementation,"Based on the provided documents, there is no specific information available regarding China's stance after the United States withdrew from the Paris Agreement. The documents focus primarily on criticism of President Trump's decision to withdraw and its perceived negative impact on global efforts to combat climate change. However, they do not contain any details about how or if this affected the position of China regarding the agreement.",0,0.0
24,vanilla,How did Rex Tillerson respond to Manchester intelligence leaks?,US takes full responsibility,"Rex Tillerson, as Secretary of State at the time, defended himself during a combative interview with Chuck Todd on Meet the Press. He managed to hold his ground against the interviewer's attacks by responding with credible answers. Additionally, it was reported that the U.S. government would take action to stop such leaks in the future.",0,0.0
25,vanilla,What happened to Kathy Griffin after Trump photo controversy?,CNN terminated her contract,"After the controversy surrounding her photos of a fake severed President Trump's head, comedian Kathy Griffin was fired from CNN's New Year Eve program. Additionally, she faced criticism from President Trump himself who expressed that she should be ashamed for upsetting his son with such photos and also publicly responded to the incident.",0,1.0
26,vanilla,What did Vatican officials say about Paris agreement withdrawal?,Called it a disaster for everyone,"Vatican officials saw the U.S.'s exit from the Paris climate change deal as an offensive act, referred to it as a ""slap in the face."" They considered this decision by the United States to be detrimental for everyone. This sentiment was expressed under Pope Francis' urging that the Vatican strongly supports the Paris agreement.",0,1.0
27,vanilla,How many Americans were being held in North Korea?,Four Americans,The given documents don't contain specific information about the number of American citizens currently detained in North Korea. It is suggested to consult official reports or news updates for more recent data regarding this matter.,0,0.5
28,vanilla,What did Trump tell Middle East leaders about Iran?,Must stop funding terrorists and militias,"According to the given documents, President Donald Trump urged Arab and Islamic leaders in the Middle East to unite and do their share to defeat Islamist extremists. He made an impassioned plea for them to ""drive out"" these terrorists. Furthermore, he suggested that shared concern about Iran was bringing Israel and many Arab states closer together.",0,0.0
29,vanilla,What changes did Trump propose to Medicaid?,$800 billion in cuts,"Based on the information from the documents, President Donald Trump's budget proposal included cuts to Medicaid as well as proposed changes to other assistance programs for low-income citizens. However, the specific details of these changes were not mentioned in the retrieved documents.",0,0.0
30,vanilla,How did Merkel describe the Paris climate accord?,Called it essential,"German Chancellor Angela Merkel described the Paris climate accord as an ""essential"" pact. She expressed her satisfaction that many other governments shared this viewpoint.",0,1.0
31,vanilla,What was Trump's response to North Korea missile tests?,All options are on table,"Based on Document ID 0686, President Donald Trump expressed concern over North Korea's latest mid-to-long range missile test, which was aimed at verifying its capability to carry a large scale heavy nuclear warhead under leader Kim Jong Un. The document does not specify Trump's direct response or actions towards the situation.",0,0.0
32,vanilla,What did James Comey document about Trump meetings?,Trump asked to end Flynn investigation,"According to the documents, former FBI Director James Comey documented his dealings with President Donald Trump in several instances. In one instance mentioned by former Intelligence Chief Clapper (Doc ID: 0356), Comey was uneasy about a planned dinner with Trump in January. Another document from CNN (Doc ID: 0056) suggests that Comey plans to confirm reports of pressure from Trump on the Flynn investigation. Moreover, former Director Comey is set to testify before a U.S. Senate panel regarding Russia's alleged interference in the 2016 election (Doc ID: 0000). Lastly, there was a request for memos related to Comey’s dealings with his superiors during Trump and Obama administration along with possible tapes of conversations with Trump (Doc ID: 0301).",0,0.0
33,vanilla,What did Turkish President Erdogan's bodyguards do in DC?,Attacked protesters,"Based on the documents, during President Erdogan's visit to Washington, there was a street protest against him. During this protest, Turkish security officials were involved in an incident where they violently responded. The exact details of their actions are not explicitly stated in the provided documents.",0,0.5
34,vanilla,How many votes were needed to pass healthcare reform?,50 votes plus Vice President,"The exact number of votes required for passing healthcare reform is not specified in these documents. However, it can be inferred that more than just the president's support was necessary as moderate Republicans held significant influence over the decision-making process and were hesitant to pass a new bill without sufficient support from their peers.",0,0.0
35,vanilla,What happened to Trump's travel ban in court?,Fourth Circuit Court blocked it,"Based on the provided documents, President Trump's temporary travel ban was challenged in court multiple times. The U.S. appeals courts were involved in these legal battles where they scrutinized if the ban discriminated against Muslims and also questioned about President Trump’s powers concerning this issue. One significant event documented is a stinging rebuke by a U.S. appeals court refusing to reinstate the travel ban, which called it discriminatory. Furthermore, another document suggests that the case could potentially be decided in favor of either side depending on the Supreme Court's decision.",0,0.0
36,vanilla,What did former CIA chief Brennan say about Russia?,Saw evidence warranting investigation,"Former CIA Director John Brennan expressed concern over contacts between American citizens and Russian officials during the 2016 U.S. presidential election, stating that there was ample evidence to suspect attempts at interference in the electoral process (Doc ID: 0124). He also indicated that he had warned Moscow about their efforts to influence the elections last summer (Doc ID: 0123). Furthermore, Brennan suggested his worry increased due to observed contacts between associates of Donald Trump's presidential campaign and Russia during the 2016 election (Doc ID: 0599).",0,0.0
37,vanilla,How much was the U.S. trade deficit with Germany?,Massive deficit according to Trump,"Based on the provided documents, there is no specific information available about the exact amount of the U.S. trade deficit with Germany.",0,0.0
38,vanilla,What did Trump say about NATO members' spending?,Not paying fair share,"According to the documents, President Trump has been publicly expressing his dissatisfaction with NATO allies for not contributing enough financially towards defense expenditure. He directly scolded them during meetings at NATO headquarters and was clear in his demand that they need to contribute their fair share and meet their financial commitments.",0,1.0
39,vanilla,What changes were proposed to food stamp program?,$200 billion reduction,"Based on Document ID: 0587, titled ""DEADBEATS BEWARE: Trump's Food Stamp Reform Is Your Worst Nightmare"", it is suggested that there are changes proposed to the food stamp program under President Trump's budget. However, the specific details of these changes were not provided in the document excerpts given.",0,0.0
40,vanilla,What was the response to Kushner's back-channel proposal?,Raised serious concerns,"Based on the document with Doc ID: 0086, it can be inferred that there were reports about Jared Kushner attempting to set up a secret channel of communication with Russia before Donald Trump took office as president. The response and consequences from these actions are not explicitly mentioned in this or other documents provided. However, U.S. President Donald Trump did attack the news media and dismissed leaks following the reports about his son-in-law Kushner's actions (Doc ID: 0084).",0,0.0
41,vanilla,How many FBI agents did Comey say Trump requested?,Loyalty pledge request documented,"Based on the given documents, it is not explicitly mentioned how many FBI agents James Comey had sought for the Russia probe before he was fired by President Trump. Therefore, an exact number cannot be determined from the available information.",0,0.0
42,vanilla,What happened at Trump's meeting with Pope Francis?,Discussed climate change and peace,"During their first meeting, Pope Francis encouraged U.S. President Donald Trump to be a peacemaker following sharp exchanges from the previous year between them. Additionally, in a surprising message delivered just days after this meeting, Pope Francis criticized Trump's proposed border wall plan as being against Christian values during his papacy.",0,1.0
43,vanilla,What did Palestinian leaders say about Trump's visit?,Hoped for useful meeting,"Based on the retrieved documents, there isn't direct information available regarding what Palestinian leaders specifically said about President Trump's visit to Israel as per these documents. However, from Doc ID: 0214, we understand that Trump met with both Israeli Prime Minister Benjamin Netanyahu and Palestinian President Mahmoud Abbas during his visit.",0,0.0
44,vanilla,How many countries signed the Paris climate agreement?,195 nations,"Based on the available documents, it is not possible to determine the exact number of countries that have signed the Paris Climate Agreement as none of the documents provides this information. However, they do indicate that several governments took a similar view to German Chancellor Angela Merkel in supporting the accord and seeking new alliances after the U.S.'s withdrawal.",0,0.0
45,vanilla,What was the U.S. contribution to NATO before Trump?,22% of budget,"The provided documents do not contain information about what the U.S.'s contribution to NATO was before President Trump's tenure. The documents discuss various statements made by President Trump regarding defense spending by NATO allies, his support for NATO's collective defense clause (Article 5), and his visit to NATO headquarters. However, specific details about the U.S.'s contribution to NATO prior to Trump are not included in these documents.",0,0.0
46,vanilla,What did Saudi Arabia say about Qatar?,Disputed Qatar claims,"Based on the provided documents, there is no specific information regarding Saudi Arabia's statement or position on Qatar mentioned in any of the documents retrieved for this query. The documents mostly discuss President Trump's visit to Saudi Arabia and its implications for security, trade ties, arms sales, and regional issues. However, none of them explicitly address what Saudi Arabia said about Qatar.",0,0.0
47,vanilla,How many missiles did North Korea test?,Multiple tests in 2017,The number of missiles tested by North Korea is not explicitly mentioned in any of the given documents.,0,0.0
48,vanilla,What was Trump's stance on China currency manipulation?,No longer calling China currency manipulator,"The given set of documents does not contain specific information regarding President Donald Trump's stance on China's currency manipulation. However, it is mentioned that his nominee for ambassador to China promised to take a firm line with Beijing on various issues, which could potentially include trade disputes and financial matters such as currency manipulation.",0,0.0
49,vanilla,What did Sessions say about Russian meetings?,Did not recall specific conversations,"Based on the given documents, none of them directly mention what Session said about Russian meetings. However, in Doc ID: 0287, it is mentioned that President Putin stated to his people back home that he couldn't find any compromising information on Donald Trump during their meeting, suggesting a positive viewpoint towards the interactions between US and Russia.",0,0.0
50,vanilla,How many executive orders did Trump sign in first 100 days?,More than 30,"Based on the given documents, specifically Doc ID: 0456, it is mentioned that U.S. President Donald Trump signed an executive order to bolster the government's cyber security within his first 100 days in office. However, there isn't sufficient information provided across these documents to determine the exact number of executive orders he signed during this period.",0,0.5
51,vanilla,What did Ivanka Trump say about Paris agreement?,Remained silent publicly,"The given documents do not contain information regarding what Ivanka Trump said about the Paris Agreement. To find this information, additional sources may need to be consulted.",0,0.0
52,vanilla,How many jobs would be lost due to EPA cuts?,"5,263 jobs","Based on the provided documents, it is not possible to determine the exact number of job losses resulting from EPA cuts as none of the given sources specify this information. However, they all indicate that there will be significant staff reductions due to budget cuts and buyouts initiated by the administration.",0,0.0
53,vanilla,What was GOP response to healthcare bill analysis?,Expressed serious concerns,"The GOP, or Republican Party in Congress, responded to the healthcare bill by attempting to craft a new plan for overhauling it. After months of internal discord within the House of Representatives, they finally approved a bill that would change the Affordable Care Act, also known as Obamacare.",0,0.0
54,vanilla,What did Trump say about Middle East peace?,Harder than expected,"Based on the retrieved documents, U.S. President Donald Trump expressed his commitment to broker peace between Israel and Palestine during a visit with Palestinian President Mahmoud Abbas in Washington D.C., as he was willing ""to do whatever is necessary"". Additionally, Secretary of State Rex Tillerson indicated that Trump was prepared to invest personal efforts into Middle East peace if Israeli and Palestinian leaders were ready. Furthermore, during his trip to Saudi Arabia and Israel, Trump urged regional leaders to work together for peace.",0,1.0
55,vanilla,How much would State Department budget be cut?,29% reduction,"Based on the retrieved documents, it's evident that there is an effort to significantly reduce spending in various areas including foreign aid, diplomacy, and some military programs under President Trump's administration. However, specific numbers or percentages pertaining to how much would be cut from the State Department budget were not provided within these documents. To get precise figures on this matter, further research beyond the given document set is required.",0,0.0
56,vanilla,What did NSA director say about Trump request?,Never felt pressured,"Based on the documents, it appears there is no clear statement made by the NSA Director regarding President Trump's request to deny any collusion between his campaign team and Russia. The U.S. Intelligence Chief Dan Coats did not comment or provide details about this matter in the retrieved documents.",0,0.0
57,vanilla,What was the voter turnout in Iranian election?,73% turnout,"The provided documents do not contain specific information about the voter turnout in the Iranian elections. Therefore, I am unable to provide an answer to this query from these sources.",0,0.0
58,vanilla,How did Wall Street react to Comey firing?,Markets dropped briefly,"The provided documents do not include any specific information about how Wall Street reacted to the firing of former FBI Director James Comey. Therefore, an accurate response based on these documents cannot be given. Additional sources or documents may need to be consulted for this particular detail.",0,0.0
59,vanilla,What did U.N. say about Syria chemical attack?,Confirmed chemical weapons use,"The given documents do not contain any information regarding the UN's stance on a specific Syrian chemical attack. However, one document mentions that President Trump urged Russia to ""rein in"" Syrian President Bashar al-Assad during a meeting with Russia’s foreign minister Sergei Lavrov. This discussion was reported by the White House.",0,0.0
60,vanilla,What was Israel's response to arms deal with Saudis?,Expressed muted concern,"Israel expressed muted concern over the major U.S.-Saudi arms deal announced during the visit of U.S. President Donald Trump to the region, as per document ID: 0215 from Reuters titled ""Israeli minister expresses concern over U.S.-Saudi arms deal"".",1,1.0
61,vanilla,How many refugees did Trump want to admit?,"50,000 maximum","According to Document ID 0548, Rush Limbaugh mentions that ""the approval of Over 75,000 Refugees"" is part of the roadblocking against Trump. Therefore, it can be inferred that Trump wanted to admit over 75,00
Refugiados. However, this document does not provide a precise number for how many refugees Trump specifically intended to admit.",0,0.0
62,vanilla,What did Mattis say about NATO commitment?,Fully committed,"Based on the provided documents, there is no explicit information regarding what Defense Secretary James Mattis said specifically about NATO's commitment. However, these documents do confirm that President Donald Trump has expressed clear support for defending Europe under NATO and reiterated his blunt demands for increased defense spending among allied countries.",0,0.5
63,vanilla,What was turnout at Trump's inauguration?,Lower than Obama's,"Based on the given documents, there isn't specific information about the turnout at President Trump's inauguration. However, these documents do discuss his approval ratings, public protests during his first visit back to New York after assuming office, and other events related to his presidency. For exact details regarding the turnout for his inauguration, one might need additional resources or information not included in the provided documents.",0,0.0
64,vanilla,How did South Korea react to THAAD deployment?,Supported deployment,"The given documents do not contain specific information about how South Korea reacted to the THAAD (Terminal High Altitude Area Defense) deployment. However, it's important to note that in real-world context, South Korea agreed with the United States on deploying a THAAD system as part of its missile defense against North Korea. To accurately respond to this query, we would need to access documents specifically discussing South Korea's reaction to the THAAD deployment.",0,0.5
65,vanilla,What did Flynn say about immunity?,Sought immunity,"According to the document with Doc ID 0604, former White House National Security Adviser Michael Flynn has stated that he will begin turning over some of the documents subpoenaed by the Senate Intelligence Committee. However, there is no specific mention about immunity in these retrieved documents.",0,0.0
66,vanilla,How many countries were in travel ban?,Six countries,"According to the documents retrieved, there were seven nations covered under President Donald Trump's temporary travel bans as mentioned in Doc ID: 0105 titled ""U.S. visas issued to citizens of Trump travel ban nations continue to decline"".",0,0.0
67,vanilla,What was Deutsche Bank's role in Trump investigation?,Asked for Trump records,"According to Document ID: 0151 from Reuters, U.S. House Democrats requested information from Deutsche Bank regarding President Donald Trump's accounts. They were inquiring whether any of these accounts had connections to Russia or other potentially suspicious entities. Hence, Deutsche Bank was sought for information that could shed light on the financial aspects related to Trump and possible foreign influences in his campaign.",0,1.0
68,vanilla,How did Canada respond to lumber tariffs?,Called tariffs unfair,"The provided documents do not contain specific information about how Canada responded to lumber tariffs. However, they discuss aspects of trade negotiations involving the North American Free Trade Agreement (NAFTA), including meetings with lawmakers and the confirmation of a new U.S. Trade Representative.",0,0.0
69,vanilla,What did Yates testify about Flynn?,Warned about compromise,"Former Acting U.S. Attorney General Sally Yates testified that she had warned the White House in January that then-National Security Adviser Michael Flynn was compromised, suggesting he might have been vulnerable to Russia's blackmail risk. She also mentioned her multiple interactions with White House officials regarding Michael Flynn when he held different roles in the Trump administration.",0,1.0
70,vanilla,What was Trump's tax plan outline?,15% corporate tax rate,"The documents do not provide a detailed outline of President Donald Trump's tax plan, but they do mention some aspects related to it. For instance, Treasury Secretary Steven Mnuchin had concerns about alternate scoring models giving enough credit to the potential benefits of the tax plan (Doc ID: 0252). Furthermore, there was a suggestion by the White House that Trump might consider raising the federal gasoline tax to fund infrastructure development as part of his broader economic strategy (Doc ID: 0533), which could have implications for the budget and revenue. However, no specific details on the actual tax plan were provided in these documents.",0,0.0
71,vanilla,How many Trump tweets mentioned Russia investigation?,More than 100,"The provided documents do not contain information about how many times President Donald Trump has mentioned the Russia investigation in his tweets. To find this specific information, you would need to access his Twitter account or an archive of his tweets which is beyond the scope of these given document references.",0,0.5
72,vanilla,What did British PM say about Manchester leaks?,Unacceptable leaks,"According to Document ID: 0307, British Prime Minister Theresa May stated that despite the disclosures made by Trump, she maintains confidence in her government's relationship with the United States and will continue sharing intelligence information with them.",0,0.0
73,vanilla,What was voter fraud commission's purpose?,Investigate voter fraud claims,"The purpose of the voter fraud commission, as mentioned in the first document (Doc ID: 0376), was to investigate instances of voter fraud and suppression. This initiative followed President Donald Trump's unsubstantiated claims about such activities during his tenure.",0,1.0
74,vanilla,How did Mexico respond to wall payment?,Refused to pay,"Mexico's response to the proposal of paying for the wall is not explicitly stated in the given documents. However, Doc ID: 0174 mentions that President Trump requested $1.6 billion from Congress for the construction of a border wall with Mexico which was significantly less than what was needed. It also points out that this project was heavily criticized.",0,0.5
75,vanilla,What did Susan Rice say about unmasking?,Denies improper unmasking,"Based on the documents provided, it is unclear exactly what Susan Rice said about unmasking as none of the given document contents directly quote or detail her statements. However, there are several references to her involvement in the situation, including being subpoenaed by a House committee (Doc ID: 0544), and refusing to testify before the Senate regarding Russian hacking (Doc ID: 0788).",0,0.0
76,vanilla,How many Syrian refugees were admitted?,Less than previous year,"Based on the available documents, there is no specific information about the number of Syrian refugees that have been admitted. The documents mainly focus on other groups such as Haitians due to the earthquake in 2010 and Afghans who assisted American forces during their country's war. There might be relevant details contained elsewhere within these or additional documents not provided here.",0,0.0
77,vanilla,What did Spicer say about Hitler comparison?,Apologized for comparison,"Based on the available documents, there is no specific information regarding Sean Spicer making any statements comparing President Trump to Adolf Hitler. The documents focus on various other topics such as press briefings, interactions with reporters, interviews with the President, and discussions around firing FBI Director Comey.",0,0.5
78,vanilla,How did China respond to North Korea sanctions?,Called for dialogue,"Based on the documents provided, President Trump's nominee for ambassador to Beijing suggested that China can do more to push North Korea to curb its nuclear program. However, there is no specific response from China mentioned in these documents about how they would respond to North Korea sanctions.",0,0.5
79,vanilla,What was Trump's response to Syria strike?,Ordered missile strike,"Based on the documents, President Donald Trump urged Russia to ""rein in"" Syrian President Bashar al-Assad during a meeting with Russia’s foreign minister Sergei Lavrov. Additionally, he and Russian President Vladimir Putin discussed a ceasefire in Syria after US air strikes against the country.",0,0.0
80,vanilla,How many staff members left White House?,Multiple resignations,"Based on the available documents, it appears that at least two key figures have departed from their roles within the Trump administration - Communications Director Anthony Scaramucci and Chief of Staff Reince Priebus are mentioned as leaving their respective positions. However, without more specific information in these documents about other potential departures or staff changes during this period, we cannot confirm if any additional personnel left the White House.",0,0.5
81,vanilla,What did Tillerson say about climate change?,Takes no position,"Tillerson didn't directly address climate change in the document retrieved (Doc ID: 0479, Title: U.S. needs to balance foreign alliances: Tillerson). However, he did discuss an ""America First"" agenda and its translation into foreign policy while outlining his approach for staff.",0,0.5
82,vanilla,How many countries supported Paris agreement?,195 countries,"Based on the information in Document ID 0027, it is known that German Chancellor Angela Merkel was pleased with many other governments' support for the Paris Climate Accord. However, the exact number of countries supporting the agreement isn't specified within these documents.",0,0.0
83,vanilla,What was Paul Ryan's healthcare stance?,Support with changes,"Based on the retrieved documents, U.S. House Speaker Paul Ryan expressed his support for health insurance companies to continue operating in the Obamacare marketplace despite concerns over its stability (Doc ID: 0153). He also did not specify a timing for voting on a Republican plan to undo former President Barack Obama's healthcare law, but indicated that the House leadership had strategies in place (Doc ID: 0512). Furthermore, Ryan acknowledged changes made by three Republican House lawmakers to the party's healthcare overhaul plan after crafting amendments that would provide $8 billion over five years (Doc ID: 0492).",0,1.0
84,vanilla,How did Iran respond to Trump's speech?,Called it hostile,"According to the retrieved documents, following President Donald Trump's speech criticizing Iran for its financial and military support of ""terrorists and militias"", Iranian Foreign Minister Mohammad Javad Zarif publicly scorned Trump. He criticized not only Trump's accusations but also a major U.S. arms deal, among other investments worth hundreds of billions of dollars that were sealed during Trump's presidency.",0,1.0
85,vanilla,What was unemployment rate under Trump?,4.4 percent,"The provided documents do not contain specific information about the exact unemployment rate under President Trump's administration. However, they mention that his budget plan is expected to boost economic growth by fostering capital investment and creating jobs for those who gave up their job hunts during a certain period.",0,0.0
86,vanilla,How did EU respond to steel tariffs?,Threatened retaliation,"The given documents do not directly address how the European Union responded to U.S. steel tariffs specifically. The closest document, Doc ID: 0119, talks about lingering differences between EU officials and President Trump but does not mention steel tariffs explicitly. For a complete answer regarding the EU's response to steel tariffs imposed by the U.S., additional documents would be required that directly address this issue.",0,0.0
87,vanilla,What did Manafort disclose about foreign work?,Retroactively registered,"According to the document with Doc ID: 0140 titled ""Russians talked about influencing Trump through advisers"", it is mentioned that Russian officials discussed influencing Donald Trump through his advisers, which included Paul Manafort and Michael Flynn. However, this does not directly provide information on what exactly Manafort disclosed about foreign work. Further details are needed to accurve a more specific response regarding Manafort's disclosures about foreign work.",0,0.0
88,vanilla,How many times did Trump visit Mar-a-Lago?,Seven visits,The provided documents do not contain specific information about how many times President Donald Trump visited Mar-a-Lago during his tenure in office.,0,0.0
89,vanilla,What did Nunes say about surveillance?,Stepped aside from probe,"Based on the given documents, there is no specific information regarding what Devin Nunes said about surveillance as none of the document contents directly address any statement made by him concerning this topic. However, one of the documents refers to a ""House Intelligence Committee"" that had a hearing projecting unity afterward, and another mentions a Director of National Intelligence discussing no relevant memos on certain topics, but neither explicitly mention Devin Nunes' views or statements about surveillance.",0,0.0
90,vanilla,How much would border wall cost?,$21.6 billion estimate,"Based on Document ID 0174 titled ""Amid opposition, Trump makes low budget request for Mexico border wall,"" President Donald Trump has asked Congress for $1.6 billion to initiate the construction of a wall along the U.S.-Mexico border. However, this amount is considerably less than what might be required given the criticism surrounding the project's scope and costs.",0,0.0
91,vanilla,What was Venezuela's response to sanctions?,Rejected sanctions,"The provided documents do not contain specific information regarding Venezuela's response to sanctions. However, they detail various instances of U.S. legislation imposing new or tightening existing sanctions against Iran, North Korea, and foreign groups that perform or provide information about abortion - with the Trump administration expanding global anti-abortion policy. Additionally, a case is mentioned where students applying to PhD programs in the United States were spooked due to President Donald Trump's travel ban.",0,0.5
